Name,RT [min],CCS,m/z meas.,M meas.,Original annotation,Molecular Formula,Annotations,AQ,Name for process,Lipidlynx bulk,Lipidlynx molecula species,Main Ion,ID confidence,Annotation Source,mSigma,MS/MS score,ppm,Structure,AQ Details,2,3,4,5,6,7,9,10,11,12,13,15,19,20,21,23,24,25,27,28,29,30,31,32,33,34,37,38,39,43,44,45,47,51,53,55,56,57,58,59,60,62,63,65,66,68,71,72,76,77,79,80,82,84,93,94
16:0-succinoyl PC_594.34051_1.84_[M-H]-_low,1.84,239.9,594.34051,595.34779,16:0-succinoyl PC,C28H54NO10P,Spectral Library - Avanti Metlin mod.msp,20012,16:0-succinoyl PC_594.341_1.84_[M-H]-_low,,,[M-H]-,low,Avanti Metlin mod.msp,?,508.4,-1.257,"InChI=1S/C28H54NO10P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-27(32)36-23-25(39-28(33)20-19-26(30)31)24-38-40(34,35)37-22-21-29(2,3)4/h25H,5-24H2,1-4H3,(H-,30,31,34,35)",MS/MS: Library; CCS: CCS-Predict,1.94418861,0.23858891,0.89877889,2.83355411,0.41051815,0.01373288,2.49398748,0.18481666,1.32769737,0.52218131,0.41135332,1.18660375,0.28533448,1.16524701,2.07303221,0.9343073,1.75956143,2.0199367,3.72688017,3.85140866,1.92637086,2.12447063,0.77063088,0.19057563,2.29863722,1.50883712,3.59706157,1.82495435,0.37587788,2.76945609,0.9812234,2.0263832,0.487214,0.14769177,0.0113414,0.35510971,1.86233056,0.01681603,0.12744846,1.46520905,0.38022381,2.47063747,0.27760388,0.81078866,0.01486694,1.40072965,0.0140851,0.15717716,0.0136249,0.01456909,2.07009274,0.07226846,0.12875477,2.6405359,0.48466536,1.83282627
"19,20-Dihydroxy-4Z,7Z,10Z,13Z,16Z-docosapentaenoic acid_361.2378_0.87_[M-H]-_low",0.87,191.1,361.2378,362.24508,"19,20-Dihydroxy-4Z,7Z,10Z,13Z,16Z-docosapentaenoic acid",C22H34O4,Spectral Library - Nist17_high_merged.msp,20210,"19,20-Dihydroxy-4Z,7Z,10Z,13Z,16Z-docosapentaenoic acid_361.238_0.87_[M-H]-_low",,,[M-H]-,low,Nist17_high_merged.msp,24.5,604.4,-1.279,,MS/MS: Library,1.5043739,1.4164707,0.9440417,1.3375659,1.0881095,1.9506119,1.094982,1.4019465,1.2987087,1.0397409,1.2881458,1.1024286,1.047208,1.8392228,1.9326629,1.8541184,0.9721613,1.7008065,1.449953,1.1327768,0.9598824,1.0042382,1.3265001,2.0496152,1.6115257,1.216676,0.8011237,1.6648883,1.2811107,1.4210525,1.4766142,1.7238784,1.952682,1.9353794,2.0489216,1.5100948,1.1378465,1.594772,1.4699689,0.8842025,1.0825381,0.9933751,1.3762211,1.9365928,1.5594437,1.043068,2.0991958,1.5670981,2.0905242,1.553524,1.8410186,1.6778515,1.7229465,1.5600953,1.0552682,1.5125538
1-Octadecanoyl-2-octadecenoyl-sn-glycero-3-phosphocholine_810.6005_4.29_[M+Na]+_low,4.29,294.2,810.6005,787.60948,1-Octadecanoyl-2-octadecenoyl-sn-glycero-3-phosphocholine,C44H86NO8P,Spectral Library - Nist17_high_merged.msp,10220,1-Octadecanoyl-2-octadecenoyl-sn-glycero-3-phosphocholine_810.601_4.29_[M+Na]+_low,,,[M+Na]+,low,Nist17_high_merged.msp,43.8,985.3,2.676,,MS/MS: Library,1.2653025,0.1446512,0.9476872,0.9504408,0.1529293,1.1418454,0.1127,1.0798714,0.128168,0.16707,1.0596913,1.108267,0.1300796,0.1478004,1.1695275,1.7107108,0.1228039,1.2636465,1.1643236,1.0792323,1.2513802,0.9964945,1.1418476,1.3186561,1.1648363,0.9354924,1.1485705,1.4056536,0.1293165,0.8407087,0.8396482,1.3139546,1.2718816,1.0707255,2.191877,0.1339767,0.9518304,1.5371315,0.9029982,1.0328632,0.1381728,1.0937599,1.2809783,1.1765651,0.9839545,0.9626414,1.9430568,1.3321291,1.2001107,1.1195721,0.1705284,1.2539866,1.1366741,0.9302259,1.1658615,0.1482782
1-Palmitoyl-2-arachidonoyl-sn-glycero-3-phospho-(1'-sn-glycerol)_769.50195_2.45_[M-H]-_Medium,2.45,282.1,769.50195,770.50923,1-Palmitoyl-2-arachidonoyl-sn-glycero-3-phospho-(1'-sn-glycerol),C42H75O10P,Spectral Library - Nist17_high_merged.msp,20220,1-Palmitoyl-2-arachidonoyl-sn-glycero-3-phospho-(1'-sn-glycerol)_769.502_2.45_[M-H]-_Medium,,,[M-H]-,Medium,Nist17_high_merged.msp,30.1,911.1,-0.727,,MS/MS: Library,0.97628891,0.8580953,0.93442585,1.48033206,0.80113545,1.11800578,0.84115156,0.75110052,1.45686776,0.97362807,1.96121418,1.04874804,0.3868869,0.84611728,0.62613725,0.05648212,1.20412729,0.27404247,0.91934916,1.25558301,0.98900047,0.70037086,1.409593,0.99624604,1.04929303,0.79198274,1.14157515,1.25486327,1.16717338,1.64561128,0.77096831,0.70272975,0.7697918,0.92245744,0.69700585,1.4696334,1.0894078,0.99616607,0.64463845,0.85627917,0.21079098,0.94872046,1.35549807,1.00616983,1.18537901,0.79835834,0.81719014,0.85758558,0.69178133,1.28454663,0.45280892,0.93708425,1.20284392,0.62080496,1.00562329,1.25589705
1-Palmitoyl-2-linoleoyl-sn-glycero-3-phosphate_671.4649_3.1_[M-H]-_low,3.1,259.1,671.4649,672.47218,1-Palmitoyl-2-linoleoyl-sn-glycero-3-phosphate,C37H69O8P,Spectral Library - Nist17_high_merged.msp,20120,1-Palmitoyl-2-linoleoyl-sn-glycero-3-phosphate_671.465_3.1_[M-H]-_low,,,[M-H]-,low,Nist17_high_merged.msp,132.1,873.1,-1.236,,MS/MS: Library,0.77006278,0.11639043,1.34139246,0.09353902,0.12305116,1.15828857,0.66986917,0.10070817,0.10312752,1.45896547,1.17642663,1.66632368,0.65933945,0.11892429,0.11493869,0.14895204,0.09881147,0.1043919,0.09952959,1.1373814,0.09467016,1.00081751,0.97205907,0.12038604,0.11796154,1.10137075,1.18994679,0.65856759,1.18544424,1.5198545,0.98071303,0.10987067,1.26355588,0.57482015,0.61536566,0.10780138,1.03378264,1.12229496,1.1400763,1.29694882,0.11117765,0.92702861,0.11799021,0.89382367,1.24252758,0.0935479,0.1104914,0.10580243,0.10688133,0.82818899,0.13721189,1.01161499,0.84004225,0.98186478,0.79976438,1.12649606
1-Stearoyl-2-arachidonoyl-sn-glycero-3-phospho-(1'-sn-glycerol)_797.5328_2.96_[M-H]-_low,2.96,284.1,797.5328,798.54007,1-Stearoyl-2-arachidonoyl-sn-glycero-3-phospho-(1'-sn-glycerol),C44H79O10P,Spectral Library - Nist17_high_merged.msp,20110,1-Stearoyl-2-arachidonoyl-sn-glycero-3-phospho-(1'-sn-glycerol)_797.533_2.96_[M-H]-_low,,,[M-H]-,low,Nist17_high_merged.msp,79.8,670.1,-1.27,,MS/MS: Library,0.7885826,0.9471232,1.4109031,0.1000944,1.3956162,0.9080304,0.706661,0.728426,0.9159673,1.6235934,0.7741345,1.1814962,0.7426842,1.1201197,0.6301624,0.1593908,1.0615533,0.1117078,1.0839528,1.0474929,1.0124093,1.0976449,1.0413913,1.8013416,0.7322145,1.0104542,1.0385919,0.7667528,1.0012177,1.0701679,0.9516581,0.6033427,0.9068007,1.0389561,0.6459197,0.7339981,1.3380288,0.9576799,0.9167781,1.0744317,0.1189692,1.4067112,0.9872116,0.7360614,0.77262,1.2913548,0.591174,1.385236,0.9562232,1.2458468,0.1468279,1.3986622,0.7054216,0.8346214,0.8473118,0.8588825
2-(5-Oxovaleryl)phosphatidylcholine_638.36641_1.37_[M+HCOOH-H]-_low,1.37,255.9,638.36641,593.36821,2-(5-Oxovaleryl)phosphatidylcholine,C29H56NO9P,Spectral Library - Nist17_high_merged.msp,20120,2-(5-Oxovaleryl)phosphatidylcholine_638.366_1.37_[M+HCOOH-H]-_low,,,[M+HCOOH-H]-,low,Nist17_high_merged.msp,87.1,948.9,-1.954,,MS/MS: Library,1.30706932,0.78893103,1.06566279,1.27910085,0.59189766,0.51755301,1.38467013,0.68171901,1.13939608,1.35011142,1.11857645,1.72550348,0.68375073,0.77726593,0.6988679,0.09474103,0.89616747,0.06639853,1.62497868,1.33517209,1.38611547,1.03015993,0.74642345,0.94143362,1.09968838,1.50391524,1.52461469,1.00520227,0.729495,0.98632149,0.58750229,1.31569637,0.7002293,0.74345455,1.34688025,1.18857847,1.1557128,0.77703672,0.76194038,1.48288945,0.41844367,1.93751328,0.70707361,0.88865366,0.37089565,1.78588924,0.37467536,0.43518182,0.54777604,0.83441705,2.47672849,0.44251918,0.79529409,1.09736626,0.66050867,0.80319176
20-HDoHE_343.22717_1.01_[M-H]-_low,1.01,189.6,343.22717,344.23445,20-HDoHE,C22H32O3,"Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0",10212,20-HDoHE_343.227_1.01_[M-H]-_low,FA22:6<+16>,FA22:6<+16>,[M-H]-,low,Bruker MetaboBASE Personal Library 3.0,19.9,592.8,-2.024,"InChI=1S/C22H32O3/c1-2-21(23)19-17-15-13-11-9-7-5-3-4-6-8-10-12-14-16-18-20-22(24)25/h3-4,7-10,13-17,19,21,23H,2,5-6,11-12,18,20H2,1H3,(H,24,25)/b4-3-,9-7-,10-8-,15-13-,16-14-,19-17+",MS/MS: Library; CCS: CCS-Predict,1.0348593,0.9734562,1.4777046,0.8553774,2.0909047,1.2547414,0.8822955,1.1670909,1.0841293,1.0575214,0.8265807,0.8416758,0.5368109,1.2457226,1.2719334,1.1372952,0.9400124,1.2826929,0.8880188,0.7180424,0.6769024,1.1277508,0.9001912,1.7146831,1.1326496,0.7327186,0.7343605,0.9703711,1.0138216,0.81298,1.1306131,1.2657496,1.8357108,1.7156177,1.4510345,0.9219482,1.1010206,0.9830763,1.1565589,0.712687,1.0422702,1.2878122,0.80856,1.6342861,1.0584508,1.055023,1.2226365,1.8798871,1.3655064,1.0034451,1.0490157,1.7481828,1.2577058,1.0791806,0.7645788,1.0317435
25-hydroxycholecalciferol_401.34127_2.18_[M+H]+_low,2.18,214.3,401.34127,400.33399,25-hydroxycholecalciferol,C27H44O2,Spectral Library - MSDIAL-TandemMassSpectralAtlas-VS69-Pos.msp,20211,25-hydroxycholecalciferol_401.341_2.18_[M+H]+_low,,,[M+H]+,low,MSDIAL-TandemMassSpectralAtlas-VS69-Pos.msp,12.3,608,-0.397,"InChI=1S/C27H44O2/c1-19-10-13-23(28)18-22(19)12-11-21-9-7-17-27(5)24(14-15-25(21)27)20(2)8-6-16-26(3,4)29/h11-12,20,23-25,28-29H,1,6-10,13-18H2,2-5H3",MS/MS: Library,0.9237479,2.1261974,1.0051795,2.325357,1.230718,0.6790075,1.2982864,0.2572329,1.4801408,1.1565426,2.7715024,0.9001916,1.0239932,1.1821863,1.1453649,3.6307343,4.5290859,0.8101196,0.9290002,0.7662961,0.9450457,0.6453791,1.9820335,1.3553002,1.6647969,0.5816914,1.1891326,0.5952052,1.4016263,1.8559167,0.9805623,0.5956533,1.3228779,0.9439051,0.8071905,1.5673307,2.6640588,1.39756,0.574196,0.8444877,1.4814826,1.4057772,2.0579625,0.6357891,1.1274867,0.8844903,0.8685143,0.848289,0.9569885,0.5323035,2.6190895,0.6798843,0.5525081,0.9401678,1.5243349,0.4049291
2-amino-3-({hydroxy[2-[icosa-5.8.11-trienoyloxy]-3-(octadecanoyloxy)propoxy]phosphoryl}oxy)propanoic acid_812.54297_3.09_[M-H]-_low,3.09,287.8,812.54297,813.55024,2-amino-3-({hydroxy[2-[icosa-5.8.11-trienoyloxy]-3-(octadecanoyloxy)propoxy]phosphoryl}oxy)propanoic acid,C44H80NO10P,Spectral Library - MoNA,10211,2-amino-3-({hydroxy[2-[icosa-5.8.11-trienoyloxy]-3-(octadecanoyloxy)propoxy]phosphoryl}oxy)propanoic acid_812.543_3.09_[M-H]-_low,,,[M-H]-,low,MoNA,32.8,533.5,-2.088,"InChI=1S/C44H80NO10P/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-30-32-34-36-43(47)55-40(38-53-56(50,51)54-39-41(45)44(48)49)37-52-42(46)35-33-31-29-27-25-23-21-18-16-14-12-10-8-6-4-2/h17,19,22,24,28,30,40-41H,3-16,18,20-21,23,25-27,29,31-39,45H2,1-2H3,(H,48,49)(H,50,51)",MS/MS: Library; CCS: CCS-Predict,0.83246987,0.7450862,1.13529536,0.7682457,1.02681832,1.1792569,0.84396743,0.78161293,0.86750284,1.46776433,1.01049684,1.0520357,0.83546046,1.01315084,0.66343111,0.07806627,0.99619536,0.05471215,0.68156435,0.99613359,0.92348325,0.96040739,0.82256901,0.73071734,0.89155171,0.9323122,0.83717206,0.57324064,1.22962475,1.08235643,0.84508235,0.76397973,1.17350162,0.62619696,0.82991413,0.83084428,1.02606809,0.78280721,1.07664618,1.02271054,0.05826859,1.05803736,0.99174068,0.85046771,0.90598383,0.82541746,0.54191642,0.9200325,0.78174688,0.74271334,0.35956612,0.70617976,0.58223602,1.15678996,0.7435175,0.80952445
