Name,RT [min],CCS,m/z meas.,Ions,Original annotation,Molecular Formula,Name for process,Lipidlynx name bulk,Lipidlynx name molecular species,ID confidence,20w1-1,20w1-2,20w1-3,20w2-1,20w2-2,20w2-3,13w-1,13w-2,13w-3,CBO1,CBO2,CBO3,FBO1,FBO2,FBO3,QC01,QC02,QC03,QC04,QC05,QC06,QC07,QC08
LPE(24:4)_556.33931_1.78_low,178,2305,55633931,[M-H]-,LPE 24:4,C29H52NO7P,LPE 24:4_556.339_1.78_[M-H]-_low,LPE(24:4),,low,2.359062977,2.29996431,2.15941151,1.011452141,0.861704802,0.982363783,1.118368065,1.044313436,1.210754227,0.103711184,0.178630028,NA,0.062080681,0.057699731,0.093007658,1.016200205,0.977955981,1.010058737,0.992250137,1.057481183,0.948189257,1.015794286,1.036318128
LPE(22:6)_526.29331_1.04_High,104,2206,52629331,"[M+H]+, [M+Na]+",LPE 22:6,C27H44NO7P,LPE 22:6_526.293_1.04_[M+H]+_High,LPE(22:6),,High,1.955473265,1.83608979,1.722250526,0.812657807,0.770264234,0.743257133,1.88847596,1.858692747,2.11966089,NA,NA,NA,NA,NA,NA,0.990907458,1.023047123,0.979387506,0.990869978,1.011246935,0.978256906,0.9959928,1.012508354
LPE(22:6)_524.27805_1.05_Medium,105,2219,52427805,"[M-H]-, [2M-H]-",LPE 22:6,C27H44NO7P,LPE 22:6_524.278_1.05_[M-H]-_Medium,LPE(22:6),,Medium,1.735129881,1.73950391,1.4842812,0.673462124,0.572547549,0.674919194,2.101624484,1.670740086,2.280801176,NA,0.003062788,NA,NA,NA,0.002349846,0.986727763,0.945310694,0.994791575,1.03555495,1.012571805,0.997801312,1.035785519,1.03002107
LPE(22:5)_528.30832_1.25_High,125,2236,52830832,"[M+H]+, [M+Na]+",LPE 22:5,C27H46NO7P,LPE 22:5_528.308_1.25_[M+H]+_High,LPE(22:5),,High,2.781468174,2.475762088,2.186654756,1.051686182,0.988856669,1.082100604,1.079396714,1.082221036,1.062904534,NA,NA,NA,NA,NA,NA,1.012682649,0.987600059,1.019093862,0.988218965,0.992163541,1.017468512,0.994207806,0.959081552
LPE(22:5)_526.29347_1.25_Medium,125,2226,52629347,[M-H]-,LPE 22:5,C27H46NO7P,LPE 22:5_526.293_1.25_[M-H]-_Medium,LPE(22:5),,Medium,2.675864342,2.598991706,2.385354787,1.050618387,0.893439135,1.200615661,1.3303645,1.078648382,1.327602197,NA,NA,NA,NA,NA,NA,0.957393411,0.992217352,1.030359915,1.009496628,0.985255627,1.004868686,0.992922379,1.051909193
LPE(22:5)_526.29195_1.13_low,113,2224,52629195,[M-H]-,LPE 22:5,C27H46NO7P,LPE 22:5_526.292_1.13_[M-H]-_low,LPE(22:5),,low,1.89118632,1.39619495,1.441353416,0.837311409,0.520607346,1.391521614,3.081909374,2.529115624,2.566119181,NA,NA,NA,NA,NA,NA,0.764926607,1.007629469,1.264589304,0.750471187,0.903735962,0.992784696,0.966515621,1.181602567
LPE(22:4)_530.32395_1.37_High,137,2251,53032395,[M+H]+,LPE 22:4,C27H48NO7P,LPE 22:4_530.324_1.37_[M+H]+_High,LPE(22:4),,High,1.681340137,1.659897827,1.568165773,0.6230335,0.585913304,0.639820245,2.164257635,2.138188872,1.925173155,0.053055045,0.065334506,0.035334359,0.039977603,0.026165419,0.051286497,1.036520468,0.992501522,0.96430851,1.014019117,0.905964903,0.994331198,1.028915717,1.051734797
LPE(22:4)_530.32383_3.91_High,391,225,53032383,[M+H]+,LPE 22:4,C27H48NO7P,LPE 22:4_530.324_3.91_[M+H]+_High,LPE(22:4),,High,1.114678869,1.25901947,0.949306783,1.414300944,1.513036825,1.317614026,1.35445073,1.344962473,1.205059712,0.412797634,NA,NA,NA,NA,0.575664501,1.081015581,0.940381662,1.00965941,1.015639366,0.987065994,0.923105043,1.020124847,1.01425469
LPE(22:4)_528.30942_1.38_High,138,2235,52830942,[M-H]-,LPE 22:4,C27H48NO7P,LPE 22:4_528.309_1.38_[M-H]-_High,LPE(22:4),,High,1.534179869,1.576287116,1.364207322,0.577996565,0.516368203,0.585788416,2.118085266,1.678468424,1.931675943,0.152244005,0.112722323,0.062841528,0.057138921,0.038826021,0.076185749,1.006281752,0.987971241,0.997884866,0.985498376,1.023645125,0.992438638,1.006094213,1.015356896
LPE(22:3)_532.33975_4.23_High,423,2288,53233975,[M+H]+,LPE 22:3,C27H50NO7P,LPE 22:3_532.34_4.23_[M+H]+_High,LPE(22:3),,High,1.269924003,0.968311987,0.955980467,0.733685108,1.193904776,0.920720502,0.893599292,1.144687447,1.389532753,0.68701439,0.498090785,NA,0.658575128,0.272209453,0.355172367,0.894860171,1.20513952,0.907582872,0.905413366,1.027268368,1.077679617,1.06053467,0.911211147
LPE(22:3)_532.33969_1.74_High,174,2294,53233969,"[M+H]+, [M+Na]+",LPE 22:3,C27H50NO7P,LPE 22:3_532.34_1.74_[M+H]+_High,LPE(22:3),,High,2.600102722,2.519858609,2.35929989,0.663105877,0.617291226,0.69331818,1.622103225,1.471938343,1.39052464,0.454115279,0.274893742,0.175902571,0.173351976,0.028947091,0.131094858,1.033466205,0.988256248,0.976101381,1.007299023,1.012211233,0.955181198,0.998270454,1.033630934
LPE(22:3)_530.32504_1.73_High,173,2263,53032504,[M-H]-,LPE 22:3,C27H50NO7P,LPE 22:3_530.325_1.73_[M-H]-_High,LPE(22:3),,High,1.975442702,1.999362828,1.732905672,0.592073159,0.520549055,0.639481143,1.440329489,1.183152002,1.453788435,0.572520084,0.465464814,0.301249588,0.204206041,0.068200387,0.167386276,1.0027635,1.003997827,0.961113385,1.005827722,1.028697378,0.988259485,0.998857166,1.027149485
LPE(22:3)_530.32424_1.8_High,18,2258,53032424,[M-H]-,LPE 22:3,C27H50NO7P,LPE 22:3_530.324_1.8_[M-H]-_High,LPE(22:3),,High,1.891664636,1.858521469,1.538766695,0.921665167,0.79450287,0.993095518,1.974365643,1.393865945,1.645516584,1.03442735,0.454434131,0.31581561,0.164800555,0.080271345,0.187237899,0.984796424,0.998267616,1.038814275,0.995075018,0.965142341,1.049789156,0.97655319,1.03328484
LPE(22:2)_532.33928_1.93_High,193,228,53233928,[M-H]-,LPE 22:2,C27H52NO7P,LPE 22:2_532.339_1.93_[M-H]-_High,LPE(22:2),,High,0.54687166,0.602466565,0.484705306,0.205628712,NA,0.182072322,0.459228139,0.461661211,0.485044115,0.861572529,0.459276736,0.29314012,0.168426191,0.077513223,0.188908329,0.974304146,0.950521681,1.024033313,1.005376004,1.032764079,1.061709169,0.888670479,1.095446068
LPE(20:4)_502.29349_1.1_High,11,2173,50229349,[M+H]+,LPE 20:4,C25H44NO7P,LPE 20:4_502.293_1.1_[M+H]+_High,LPE(20:4),,High,2.053378055,2.028554467,1.818021904,0.972466966,0.903708488,0.892142155,1.793073659,1.690418464,1.742684794,0.060429567,0.066115144,0.035853335,0.024807022,0.018972581,0.034057295,1.04828429,0.984366717,1.000446366,0.98476178,0.993448496,0.979901841,0.964551858,1.020870323
LPE(20:4)_500.27766_1.1_High,11,2177,50027766,"[M-H]-, [2M-H]-",LPE 20:4,C25H44NO7P,LPE 20:4_500.278_1.1_[M-H]-_High,LPE(20:4),,High,2.022270793,1.984228832,1.64622004,0.861117438,0.737549165,0.882045284,2.111956987,1.646732271,2.205784539,0.048276185,0.065517457,0.044102626,0.024663321,0.017321104,0.028755185,0.969940401,0.995093357,0.99422477,1.011514139,1.020675334,1.007480991,1.024494707,1.008264255
LPE(20:3)_504.30899_1.34_High,134,2212,50430899,[M+H]+,LPE 20:3,C25H46NO7P,LPE 20:3_504.309_1.34_[M+H]+_High,LPE(20:3),,High,1.654648694,1.911848508,1.759869422,0.668085359,0.835265615,0.708385842,1.108678465,1.092059223,1.058809907,NA,0.215617014,NA,NA,NA,NA,1.006158594,1.017574893,0.960449158,1.014308725,0.987309621,0.966204412,1.03041156,1.001052116
LPE(20:3)_504.30829_1.24_Medium,124,2187,50430829,[M+H]+,LPE 20:3,C25H46NO7P,LPE 20:3_504.308_1.24_[M+H]+_Medium,LPE(20:3),,Medium,2.056196974,1.870679832,1.724950281,0.535347354,0.629281713,0.699683066,1.718824384,1.70307219,1.742824185,NA,NA,NA,NA,NA,NA,0.926235297,1.091799687,0.994871147,0.971676941,0.978872428,1.002818746,1.070492262,0.92100031
LPE(20:3)_502.29291_1.35_High,135,2201,50229291,[M-H]-,LPE 20:3,C25H46NO7P,LPE 20:3_502.293_1.35_[M-H]-_High,LPE(20:3),,High,1.797336345,2.181661579,1.593653516,0.919020827,0.718580083,0.724144142,1.29904915,1.170000657,1.303058678,0.463870335,0.442235142,0.285804548,0.081205874,NA,0.082475081,0.913316188,1.130483001,0.916128065,0.99069341,0.957695333,1.016015404,1.074684433,0.985055847
